"WindowTitle","TypedKey","Time"
"Microsoft Word","[c]","30/10/2024:13:19:07:788"
"Microsoft Word","[o]","30/10/2024:13:19:07:980"
"Microsoft Word","[n]","30/10/2024:13:19:08:167"
"Microsoft Word","[f]","30/10/2024:13:19:08:232"
"Microsoft Word","[i]","30/10/2024:13:19:08:394"
"Microsoft Word","[r]","30/10/2024:13:19:08:467"
"Microsoft Word","[m]","30/10/2024:13:19:08:602"
"Microsoft Word","[?]","30/10/2024:13:19:08:779"
"Microsoft Word","[W]","30/10/2024:13:18:57:677"
"Microsoft Word","[h]","30/10/2024:13:18:57:832"
"Microsoft Word","[a]","30/10/2024:13:18:57:971"
"Microsoft Word","[t]","30/10/2024:13:18:58:126"
"Microsoft Word","[SpaceBar]","30/10/2024:13:18:58:188"
"Microsoft Word","[i]","30/10/2024:13:18:58:359"
"Microsoft Word","[s]","30/10/2024:13:18:58:544"
"Microsoft Word","[SpaceBar]","30/10/2024:13:18:58:663"
"Microsoft Word","[Ctrl]","30/10/2024:13:18:59:200"
"Microsoft Word","[C]","30/10/2024:13:18:59:220"
"Microsoft Word","[Ctrl]","30/10/2024:13:18:59:300"
"Microsoft Word","[V]","30/10/2024:13:18:59:320"
"Microsoft Word","[SpaceBar]","30/10/2024:13:18:59:274"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:00:050"
"Microsoft Word","[C]","30/10/2024:13:19:00:070"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:00:120"
"Microsoft Word","[V]","30/10/2024:13:19:00:140"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:01:120"
"Microsoft Word","[C]","30/10/2024:13:19:01:150"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:01:200"
"Microsoft Word","[V]","30/10/2024:13:19:01:220"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:01:300"
"Microsoft Word","[C]","30/10/2024:13:19:01:320"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:01:400"
"Microsoft Word","[V]","30/10/2024:13:19:01:420"
"Microsoft Word","[SpaceBar]","30/10/2024:13:19:01:742"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:02:120"
"Microsoft Word","[V]","30/10/2024:13:19:02:150"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:03:500"
"Microsoft Word","[C]","30/10/2024:13:19:03:520"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:03:600"
"Microsoft Word","[V]","30/10/2024:13:19:03:620"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:04:550"
"Microsoft Word","[C]","30/10/2024:13:19:04:600"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:04:700"
"Microsoft Word","[V]","30/10/2024:13:19:04:720"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:05:700"
"Microsoft Word","[C]","30/10/2024:13:19:05:720"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:05:800"
"Microsoft Word","[V]","30/10/2024:13:19:05:820"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:100"
"Microsoft Word","[C]","30/10/2024:13:19:06:150"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:200"
"Microsoft Word","[V]","30/10/2024:13:19:06:250"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:300"
"Microsoft Word","[C]","30/10/2024:13:19:06:350"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:400"
"Microsoft Word","[V]","30/10/2024:13:19:06:450"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:500"
"Microsoft Word","[C]","30/10/2024:13:19:06:520"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:600"
"Microsoft Word","[V]","30/10/2024:13:19:06:620"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:700"
"Microsoft Word","[C]","30/10/2024:13:19:06:750"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:06:800"
"Microsoft Word","[V]","30/10/2024:13:19:06:850"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:07:000"
"Microsoft Word","[C]","30/10/2024:13:19:07:050"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:07:100"
"Microsoft Word","[V]","30/10/2024:13:19:07:150"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:07:300"
"Microsoft Word","[C]","30/10/2024:13:19:07:350"
"Microsoft Word","[Ctrl]","30/10/2024:13:19:07:400"
"Microsoft Word","[V]","30/10/2024:13:19:07:450"
